a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t
35.0	15.0	23.0	35.0	37.0	35.0	9.0	47.0	16.0	23.0	59.0	40.0	36.0	21.0	104.0	74.0	37.0	51.0	46.0	58.0
35.0	15.0	23.0	35.0	35.0	35.0	8.0	48.0	16.0	22.0	59.0	40.0	39.0	21.0	99.0	81.0	37.0	47.0	54.0	58.0
35.0	15.0	23.0	35.0	38.0	35.0	10.0	49.0	16.0	22.0	63.0	38.0	33.0	22.0	95.0	76.0	34.0	47.0	49.0	58.0
35.0	15.0	23.0	35.0	33.0	37.0	11.0	45.0	16.0	20.0	65.0	40.0	36.0	22.0	101.0	75.0	35.0	45.0	46.0	57.0
35.0	15.0	23.0	35.0	36.0	35.0	10.0	44.0	15.0	21.0	60.0	41.0	32.0	24.0	102.0	79.0	37.0	52.0	43.0	53.0
35.0	15.0	23.0	35.0	34.0	36.0	10.0	47.0	16.0	22.0	65.0	39.0	34.0	24.0	104.0	80.0	36.0	52.0	48.0	47.0
35.0	15.0	23.0	35.0	33.0	34.0	9.0	51.0	15.0	23.0	56.0	38.0	36.0	19.0	103.0	84.0	37.0	46.0	55.0	42.0
35.0	15.0	23.0	35.0	32.0	34.0	11.0	46.0	15.0	23.0	55.0	40.0	37.0	22.0	99.0	77.0	39.0	48.0	50.0	37.0
35.0	15.0	23.0	35.0	30.0	33.0	10.0	50.0	17.0	23.0	54.0	39.0	39.0	22.0	96.0	85.0	36.0	50.0	49.0	30.0
35.0	15.0	23.0	35.0	28.0	38.0	10.0	45.0	18.0	23.0	53.0	39.0	34.0	24.0	101.0	84.0	33.0	48.0	57.0	22.0
35.0	15.0	23.0	35.0	26.0	34.0	10.0	51.0	18.0	26.0	50.0	39.0	37.0	23.0	100.0	89.0	36.0	52.0	59.0	16.0
35.0	16.0	23.0	35.0	25.0	34.0	10.0	48.0	17.0	24.0	47.0	39.0	43.0	25.0	98.0	84.0	37.0	55.0	61.0	11.0
35.0	16.0	23.0	35.0	23.0	36.0	11.0	50.0	19.0	26.0	49.0	39.0	39.0	23.0	97.0	92.0	40.0	58.0	56.0	8.0
35.0	16.0	23.0	35.0	23.0	36.0	10.0	50.0	17.0	25.0	47.0	39.0	39.0	27.0	97.0	92.0	35.0	56.0	59.0	4.0
35.0	16.0	23.0	36.0	23.0	35.0	11.0	51.0	19.0	24.0	51.0	39.0	38.0	24.0	99.0	94.0	37.0	53.0	63.0	1.0
35.0	16.0	23.0	35.0	25.0	34.0	10.0	49.0	19.0	24.0	44.0	41.0	41.0	25.0	99.0	93.0	38.0	58.0	57.0	1.0
35.0	16.0	23.0	35.0	23.0	36.0	11.0	50.0	19.0	23.0	48.0	40.0	39.0	25.0	92.0	90.0	40.0	59.0	60.0	2.0
35.0	16.0	22.0	35.0	24.0	35.0	10.0	49.0	18.0	25.0	51.0	38.0	43.0	26.0	96.0	87.0	39.0	55.0	64.0	2.0
34.0	16.0	22.0	35.0	25.0	35.0	9.0	51.0	18.0	25.0	54.0	39.0	34.0	27.0	88.0	82.0	35.0	47.0	70.0	2.0
34.0	16.0	21.0	35.0	29.0	36.0	11.0	48.0	19.0	27.0	53.0	38.0	34.0	25.0	94.0	83.0	39.0	49.0	76.0	2.0
34.0	16.0	21.0	35.0	29.0	34.0	11.0	51.0	19.0	24.0	52.0	39.0	40.0	27.0	93.0	81.0	40.0	47.0	71.0	7.0
34.0	16.0	21.0	34.0	31.0	36.0	11.0	48.0	19.0	26.0	56.0	37.0	37.0	26.0	89.0	83.0	40.0	49.0	75.0	15.0
34.0	16.0	20.0	35.0	32.0	38.0	11.0	51.0	19.0	27.0	49.0	37.0	38.0	26.0	87.0	76.0	40.0	48.0	69.0	15.0
34.0	15.0	20.0	34.0	30.0	37.0	12.0	51.0	18.0	26.0	55.0	36.0	34.0	25.0	86.0	77.0	40.0	42.0	80.0	15.0
34.0	16.0	20.0	34.0	31.0	36.0	12.0	51.0	19.0	25.0	54.0	37.0	34.0	26.0	88.0	75.0	42.0	42.0	77.0	15.0
34.0	16.0	20.0	34.0	30.0	42.0	11.0	49.0	19.0	28.0	58.0	38.0	35.0	25.0	86.0	72.0	42.0	42.0	83.0	14.0
34.0	16.0	20.0	34.0	33.0	37.0	11.0	49.0	19.0	28.0	50.0	38.0	35.0	30.0	86.0	77.0	45.0	43.0	81.0	14.0
34.0	16.0	20.0	34.0	29.0	37.0	12.0	51.0	19.0	27.0	54.0	36.0	38.0	28.0	91.0	75.0	42.0	45.0	81.0	9.0
34.0	16.0	20.0	34.0	29.0	38.0	12.0	55.0	19.0	29.0	61.0	37.0	38.0	27.0	85.0	75.0	42.0	45.0	81.0	2.0
34.0	15.0	20.0	34.0	32.0	41.0	13.0	51.0	18.0	26.0	52.0	38.0	36.0	25.0	88.0	79.0	42.0	44.0	80.0	2.0
34.0	15.0	19.0	34.0	32.0	36.0	12.0	54.0	18.0	29.0	57.0	39.0	38.0	25.0	86.0	82.0	41.0	45.0	71.0	1.0
34.0	16.0	19.0	34.0	36.0	38.0	14.0	53.0	18.0	28.0	54.0	40.0	37.0	25.0	87.0	73.0	45.0	43.0	67.0	1.0
34.0	15.0	19.0	34.0	34.0	42.0	14.0	58.0	17.0	28.0	53.0	39.0	35.0	25.0	93.0	79.0	44.0	47.0	61.0	3.0
34.0	15.0	18.0	34.0	36.0	42.0	14.0	59.0	17.0	26.0	51.0	39.0	37.0	24.0	88.0	76.0	44.0	50.0	56.0	5.0
33.0	16.0	18.0	33.0	39.0	42.0	14.0	59.0	18.0	27.0	53.0	41.0	38.0	22.0	91.0	79.0	43.0	49.0	50.0	5.0
33.0	15.0	18.0	34.0	36.0	41.0	16.0	59.0	17.0	26.0	49.0	41.0	36.0	24.0	87.0	73.0	42.0	53.0	47.0	5.0
33.0	16.0	18.0	34.0	36.0	44.0	16.0	57.0	17.0	26.0	51.0	40.0	37.0	21.0	88.0	76.0	47.0	55.0	46.0	5.0
33.0	15.0	18.0	33.0	40.0	38.0	17.0	61.0	17.0	26.0	50.0	40.0	40.0	21.0	91.0	81.0	44.0	59.0	45.0	5.0
33.0	15.0	18.0	34.0	34.0	41.0	17.0	57.0	17.0	27.0	48.0	39.0	35.0	22.0	87.0	76.0	41.0	53.0	46.0	5.0
33.0	16.0	18.0	34.0	38.0	41.0	16.0	60.0	17.0	26.0	49.0	41.0	38.0	21.0	92.0	78.0	44.0	48.0	45.0	3.0
33.0	16.0	18.0	34.0	37.0	43.0	15.0	60.0	16.0	28.0	52.0	41.0	38.0	23.0	91.0	79.0	44.0	52.0	45.0	4.0
33.0	15.0	17.0	34.0	37.0	42.0	15.0	61.0	16.0	26.0	55.0	41.0	39.0	26.0	91.0	80.0	41.0	52.0	47.0	4.0
33.0	15.0	17.0	33.0	35.0	43.0	17.0	65.0	18.0	26.0	48.0	41.0	38.0	31.0	89.0	75.0	43.0	61.0	47.0	5.0
32.0	15.0	17.0	32.0	34.0	44.0	18.0	65.0	16.0	27.0	47.0	43.0	34.0	33.0	92.0	81.0	44.0	58.0	49.0	6.0
32.0	15.0	16.0	32.0	40.0	43.0	16.0	67.0	17.0	28.0	48.0	42.0	34.0	35.0	92.0	77.0	49.0	65.0	55.0	6.0
32.0	14.0	16.0	32.0	39.0	45.0	17.0	70.0	18.0	29.0	49.0	42.0	38.0	38.0	94.0	77.0	40.0	67.0	57.0	6.0
31.0	14.0	15.0	32.0	36.0	42.0	17.0	80.0	17.0	27.0	47.0	41.0	38.0	42.0	95.0	82.0	41.0	70.0	62.0	6.0
31.0	14.0	15.0	32.0	36.0	47.0	18.0	81.0	20.0	31.0	44.0	39.0	42.0	44.0	95.0	78.0	41.0	76.0	63.0	4.0
31.0	14.0	15.0	31.0	42.0	46.0	18.0	80.0	21.0	30.0	45.0	41.0	38.0	43.0	91.0	75.0	44.0	75.0	63.0	3.0
31.0	14.0	15.0	32.0	37.0	47.0	18.0	83.0	20.0	27.0	50.0	42.0	39.0	45.0	91.0	76.0	43.0	78.0	62.0	3.0
31.0	14.0	15.0	32.0	38.0	45.0	18.0	82.0	18.0	30.0	46.0	42.0	37.0	42.0	93.0	76.0	40.0	78.0	66.0	2.0
31.0	14.0	15.0	31.0	36.0	46.0	17.0	82.0	19.0	30.0	48.0	44.0	39.0	44.0	91.0	72.0	44.0	77.0	67.0	2.0
31.0	14.0	15.0	31.0	40.0	46.0	18.0	82.0	19.0	30.0	48.0	41.0	38.0	46.0	92.0	78.0	41.0	77.0	63.0	2.0
30.0	13.0	14.0	30.0	37.0	48.0	19.0	76.0	20.0	29.0	45.0	40.0	35.0	40.0	91.0	71.0	44.0	78.0	68.0	3.0
29.0	12.0	14.0	29.0	39.0	48.0	18.0	72.0	20.0	28.0	46.0	42.0	37.0	42.0	96.0	74.0	43.0	72.0	69.0	2.0
27.0	11.0	13.0	28.0	43.0	46.0	20.0	71.0	21.0	29.0	44.0	43.0	35.0	39.0	98.0	70.0	43.0	76.0	71.0	2.0
26.0	11.0	13.0	26.0	43.0	51.0	20.0	69.0	20.0	32.0	47.0	41.0	37.0	41.0	94.0	71.0	49.0	80.0	75.0	2.0
25.0	10.0	13.0	25.0	44.0	50.0	20.0	66.0	20.0	31.0	46.0	39.0	30.0	37.0	99.0	65.0	45.0	76.0	80.0	2.0
24.0	9.0	12.0	24.0	44.0	45.0	20.0	62.0	19.0	30.0	49.0	43.0	32.0	35.0	102.0	61.0	47.0	78.0	81.0	2.0
23.0	8.0	12.0	23.0	46.0	48.0	22.0	62.0	21.0	32.0	47.0	44.0	33.0	35.0	97.0	64.0	50.0	72.0	88.0	2.0
23.0	8.0	12.0	23.0	47.0	51.0	21.0	63.0	20.0	30.0	48.0	41.0	31.0	36.0	101.0	64.0	46.0	72.0	82.0	2.0
22.0	8.0	12.0	23.0	46.0	51.0	21.0	61.0	19.0	30.0	47.0	42.0	30.0	37.0	106.0	64.0	47.0	77.0	87.0	2.0
23.0	8.0	12.0	23.0	48.0	48.0	19.0	60.0	20.0	31.0	46.0	42.0	31.0	34.0	108.0	66.0	47.0	77.0	91.0	2.0
23.0	8.0	12.0	23.0	45.0	49.0	21.0	59.0	20.0	33.0	46.0	42.0	33.0	36.0	102.0	62.0	47.0	78.0	86.0	2.0
23.0	8.0	12.0	23.0	46.0	49.0	22.0	60.0	19.0	33.0	42.0	41.0	30.0	34.0	102.0	59.0	45.0	77.0	88.0	2.0
21.0	8.0	15.0	22.0	50.0	47.0	21.0	62.0	20.0	28.0	44.0	43.0	32.0	35.0	104.0	63.0	47.0	75.0	84.0	2.0
20.0	8.0	19.0	20.0	48.0	49.0	22.0	63.0	21.0	26.0	44.0	40.0	32.0	33.0	104.0	64.0	46.0	71.0	72.0	2.0
18.0	7.0	20.0	19.0	49.0	48.0	21.0	62.0	20.0	27.0	51.0	41.0	31.0	33.0	108.0	61.0	46.0	66.0	67.0	2.0
17.0	7.0	23.0	17.0	50.0	48.0	23.0	64.0	20.0	25.0	50.0	41.0	34.0	32.0	109.0	56.0	46.0	69.0	68.0	1.0
15.0	6.0	27.0	15.0	52.0	50.0	22.0	60.0	20.0	26.0	54.0	40.0	31.0	32.0	103.0	60.0	46.0	67.0	60.0	1.0
14.0	6.0	30.0	14.0	53.0	49.0	21.0	62.0	20.0	26.0	52.0	40.0	31.0	30.0	109.0	57.0	48.0	67.0	54.0	1.0
12.0	6.0	31.0	12.0	54.0	51.0	20.0	60.0	19.0	27.0	55.0	40.0	30.0	31.0	105.0	62.0	44.0	65.0	45.0	2.0
12.0	6.0	33.0	12.0	53.0	48.0	29.0	63.0	20.0	23.0	54.0	41.0	30.0	32.0	106.0	56.0	45.0	64.0	48.0	2.0
12.0	6.0	32.0	13.0	54.0	47.0	25.0	60.0	21.0	25.0	51.0	39.0	33.0	31.0	108.0	57.0	44.0	62.0	51.0	1.0
12.0	5.0	33.0	12.0	54.0	47.0	23.0	62.0	20.0	26.0	51.0	41.0	32.0	33.0	105.0	57.0	44.0	64.0	52.0	1.0
12.0	6.0	33.0	12.0	52.0	48.0	23.0	63.0	20.0	24.0	55.0	40.0	33.0	31.0	107.0	59.0	47.0	65.0	47.0	1.0
12.0	6.0	30.0	12.0	52.0	51.0	22.0	62.0	19.0	24.0	53.0	44.0	30.0	30.0	104.0	55.0	45.0	65.0	53.0	1.0
12.0	6.0	31.0	12.0	54.0	47.0	23.0	62.0	20.0	26.0	55.0	38.0	28.0	31.0	106.0	63.0	44.0	70.0	46.0	1.0
12.0	5.0	31.0	12.0	50.0	48.0	22.0	69.0	19.0	25.0	49.0	39.0	29.0	30.0	106.0	64.0	46.0	68.0	51.0	1.0
12.0	5.0	32.0	12.0	45.0	43.0	21.0	69.0	21.0	27.0	57.0	40.0	31.0	27.0	107.0	66.0	44.0	70.0	44.0	1.0
12.0	5.0	29.0	12.0	48.0	46.0	21.0	63.0	19.0	24.0	54.0	43.0	28.0	26.0	103.0	67.0	44.0	75.0	42.0	1.0
11.0	5.0	30.0	12.0	45.0	41.0	21.0	66.0	19.0	24.0	56.0	41.0	28.0	25.0	112.0	75.0	43.0	73.0	42.0	1.0
11.0	5.0	32.0	11.0	46.0	41.0	20.0	71.0	19.0	23.0	52.0	40.0	31.0	22.0	113.0	72.0	42.0	75.0	37.0	1.0
12.0	4.0	30.0	12.0	43.0	40.0	17.0	70.0	19.0	23.0	57.0	40.0	29.0	20.0	105.0	80.0	39.0	79.0	35.0	2.0
11.0	4.0	30.0	11.0	41.0	43.0	19.0	68.0	19.0	23.0	57.0	40.0	27.0	20.0	112.0	70.0	43.0	73.0	37.0	2.0
11.0	4.0	29.0	11.0	42.0	42.0	19.0	68.0	18.0	24.0	59.0	41.0	31.0	21.0	114.0	77.0	39.0	76.0	38.0	3.0
11.0	4.0	29.0	11.0	40.0	43.0	17.0	70.0	19.0	25.0	59.0	37.0	30.0	20.0	114.0	76.0	45.0	75.0	33.0	3.0
11.0	4.0	31.0	11.0	41.0	42.0	17.0	71.0	20.0	22.0	62.0	41.0	30.0	22.0	110.0	76.0	40.0	78.0	32.0	3.0
11.0	4.0	28.0	11.0	45.0	39.0	18.0	73.0	20.0	24.0	61.0	41.0	30.0	20.0	112.0	74.0	42.0	71.0	36.0	3.0
11.0	4.0	30.0	11.0	39.0	40.0	19.0	67.0	20.0	22.0	54.0	41.0	31.0	20.0	109.0	73.0	42.0	79.0	40.0	3.0
10.0	3.0	29.0	10.0	40.0	42.0	18.0	69.0	20.0	24.0	56.0	39.0	29.0	21.0	109.0	76.0	43.0	76.0	44.0	2.0
10.0	3.0	32.0	10.0	39.0	43.0	17.0	71.0	19.0	24.0	51.0	39.0	30.0	20.0	101.0	78.0	41.0	78.0	46.0	2.0
9.0	3.0	27.0	10.0	40.0	41.0	16.0	66.0	20.0	24.0	57.0	38.0	28.0	19.0	100.0	80.0	42.0	77.0	53.0	1.0
9.0	2.0	27.0	9.0	36.0	41.0	16.0	64.0	21.0	25.0	53.0	39.0	29.0	22.0	100.0	81.0	40.0	75.0	46.0	1.0
9.0	2.0	29.0	9.0	37.0	48.0	14.0	66.0	20.0	25.0	46.0	39.0	30.0	22.0	97.0	77.0	40.0	73.0	53.0	1.0
8.0	2.0	27.0	9.0	37.0	45.0	16.0	65.0	21.0	25.0	46.0	39.0	30.0	23.0	97.0	77.0	41.0	71.0	64.0	1.0
8.0	2.0	26.0	9.0	39.0	44.0	14.0	63.0	20.0	25.0	50.0	39.0	30.0	20.0	93.0	76.0	42.0	71.0	61.0	1.0
8.0	2.0	25.0	9.0	38.0	43.0	15.0	65.0	21.0	24.0	47.0	37.0	32.0	21.0	97.0	77.0	42.0	72.0	60.0	1.0
9.0	2.0	25.0	9.0	39.0	44.0	14.0	62.0	20.0	24.0	49.0	38.0	29.0	18.0	93.0	82.0	41.0	76.0	50.0	1.0
9.0	2.0	27.0	9.0	36.0	45.0	14.0	69.0	21.0	25.0	44.0	38.0	30.0	20.0	95.0	76.0	40.0	77.0	58.0	1.0
9.0	1.0	26.0	9.0	37.0	43.0	16.0	65.0	21.0	26.0	47.0	38.0	35.0	22.0	101.0	83.0	42.0	73.0	57.0	1.0
8.0	1.0	24.0	8.0	35.0	44.0	14.0	64.0	21.0	25.0	46.0	37.0	33.0	24.0	94.0	78.0	41.0	70.0	64.0	1.0
7.0	1.0	22.0	7.0	34.0	43.0	15.0	65.0	20.0	24.0	48.0	35.0	31.0	21.0	93.0	79.0	43.0	69.0	67.0	1.0
7.0	1.0	20.0	7.0	35.0	43.0	17.0	68.0	21.0	25.0	50.0	37.0	29.0	22.0	96.0	74.0	43.0	67.0	70.0	4.0
6.0	1.0	18.0	6.0	39.0	42.0	16.0	69.0	20.0	27.0	49.0	37.0	32.0	19.0	93.0	76.0	43.0	67.0	70.0	14.0
6.0	1.0	17.0	6.0	37.0	40.0	17.0	66.0	19.0	24.0	52.0	37.0	32.0	21.0	94.0	70.0	41.0	66.0	74.0	21.0
5.0	1.0	14.0	5.0	36.0	38.0	18.0	67.0	21.0	24.0	49.0	36.0	30.0	22.0	96.0	70.0	43.0	61.0	79.0	21.0
4.0	1.0	12.0	4.0	37.0	40.0	18.0	66.0	19.0	25.0	48.0	36.0	33.0	25.0	97.0	76.0	39.0	62.0	86.0	21.0
4.0	1.0	12.0	5.0	37.0	42.0	17.0	65.0	19.0	25.0	52.0	35.0	33.0	25.0	99.0	72.0	45.0	58.0	84.0	23.0
4.0	1.0	12.0	4.0	36.0	38.0	18.0	68.0	19.0	25.0	49.0	34.0	32.0	23.0	95.0	71.0	42.0	60.0	77.0	27.0
4.0	1.0	12.0	5.0	36.0	41.0	17.0	66.0	19.0	26.0	49.0	34.0	31.0	21.0	96.0	77.0	42.0	63.0	79.0	29.0
4.0	1.0	13.0	5.0	37.0	41.0	16.0	67.0	20.0	23.0	51.0	34.0	32.0	22.0	97.0	73.0	43.0	59.0	83.0	29.0
4.0	1.0	12.0	5.0	36.0	40.0	16.0	67.0	19.0	24.0	51.0	35.0	33.0	24.0	94.0	73.0	44.0	63.0	83.0	36.0
4.0	1.0	11.0	4.0	30.0	31.0	14.0	57.0	18.0	22.0	41.0	31.0	26.0	20.0	86.0	63.0	35.0	53.0	79.0	36.0
