RUN	SCHEDULE_ID	DOMAIN_SIZES_SET 	 STRATEGY_PLACEMENT 	 STRATEGY_REALLOCATION 	 max. servers 	 avg. srv. count
0	30602	1 	 LowerBoundDemand 	 None 	 15.000000 	 7.283487
0	30612	1 	 LowerBound 	 None 	 22.000000 	 11.124122
0	30612	1 	 LowerBoundDemand 	 None 	 15.000000 	 7.443689
0	30622	1 	 LowerBound 	 None 	 17.000000 	 8.732807
0	30622	1 	 LowerBoundDemand 	 None 	 12.000000 	 5.888585
0	30707	2 	 LowerBound 	 None 	 17.000000 	 9.839064
0	30707	2 	 LowerBoundDemand 	 None 	 14.000000 	 8.090499
0	30717	2 	 LowerBound 	 None 	 20.000000 	 9.655163
0	30717	2 	 LowerBoundDemand 	 None 	 16.000000 	 7.899716
0	30403	1 	 LowerBound 	 None 	 7.000000 	 2.777782
0	30403	1 	 LowerBoundDemand 	 None 	 6.000000 	 2.057307
0	30413	1 	 LowerBound 	 None 	 7.000000 	 2.684611
0	30413	1 	 LowerBoundDemand 	 None 	 5.000000 	 2.050647
0	30423	1 	 LowerBound 	 None 	 9.000000 	 2.866168
0	30423	1 	 LowerBoundDemand 	 None 	 6.000000 	 2.109501
0	30508	2 	 LowerBound 	 None 	 7.000000 	 2.834850
0	30508	2 	 LowerBoundDemand 	 None 	 5.000000 	 2.383734
0	30518	2 	 LowerBound 	 None 	 7.000000 	 2.479217
0	30518	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.114283
0	30603	1 	 LowerBound 	 None 	 19.000000 	 9.489331
0	30603	1 	 LowerBoundDemand 	 None 	 13.000000 	 6.361236
0	30613	1 	 LowerBound 	 None 	 22.000000 	 9.993197
0	30613	1 	 LowerBoundDemand 	 None 	 15.000000 	 6.753364
0	30623	1 	 LowerBound 	 None 	 19.000000 	 8.214363
0	30623	1 	 LowerBoundDemand 	 None 	 13.000000 	 5.513554
0	30708	2 	 LowerBound 	 None 	 19.000000 	 10.414120
0	30708	2 	 LowerBoundDemand 	 None 	 16.000000 	 8.551794
0	30718	2 	 LowerBound 	 None 	 19.000000 	 10.969217
0	30718	2 	 LowerBoundDemand 	 None 	 16.000000 	 8.967393
0	30404	1 	 LowerBound 	 None 	 8.000000 	 2.831954
0	30404	1 	 LowerBoundDemand 	 None 	 5.000000 	 2.062495
0	30414	1 	 LowerBound 	 None 	 8.000000 	 3.198669
0	30414	1 	 LowerBoundDemand 	 None 	 6.000000 	 2.394258
0	30424	1 	 LowerBound 	 None 	 10.000000 	 3.162739
0	30424	1 	 LowerBoundDemand 	 None 	 7.000000 	 2.349450
0	30509	2 	 LowerBound 	 None 	 7.000000 	 2.714127
0	30509	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.254727
0	30519	2 	 LowerBound 	 None 	 7.000000 	 2.401241
0	30519	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.039329
0	30604	1 	 LowerBound 	 None 	 22.000000 	 11.122767
0	30604	1 	 LowerBoundDemand 	 None 	 14.000000 	 7.515862
0	30614	1 	 LowerBound 	 None 	 15.000000 	 8.817769
0	30614	1 	 LowerBoundDemand 	 None 	 10.000000 	 5.995663
0	30624	1 	 LowerBound 	 None 	 20.000000 	 10.281059
0	30624	1 	 LowerBoundDemand 	 None 	 14.000000 	 6.991594
0	30709	2 	 LowerBound 	 None 	 17.000000 	 10.815018
0	30709	2 	 LowerBoundDemand 	 None 	 14.000000 	 8.857645
0	30719	2 	 LowerBound 	 None 	 21.000000 	 11.654838
0	30719	2 	 LowerBoundDemand 	 None 	 17.000000 	 9.527023
0	30405	1 	 LowerBound 	 None 	 9.000000 	 2.935041
0	30405	1 	 LowerBoundDemand 	 None 	 6.000000 	 2.161592
0	30415	1 	 LowerBound 	 None 	 7.000000 	 2.842707
0	30415	1 	 LowerBoundDemand 	 None 	 6.000000 	 2.067433
0	30500	2 	 LowerBound 	 None 	 8.000000 	 2.594587
0	30500	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.229749
0	30510	2 	 LowerBound 	 None 	 9.000000 	 2.764467
0	30510	2 	 LowerBoundDemand 	 None 	 8.000000 	 2.318106
0	30520	2 	 LowerBound 	 None 	 8.000000 	 2.821521
0	30520	2 	 LowerBoundDemand 	 None 	 7.000000 	 2.400239
0	30605	1 	 LowerBound 	 None 	 21.000000 	 11.584735
0	30605	1 	 LowerBoundDemand 	 None 	 14.000000 	 8.028341
0	30615	1 	 LowerBound 	 None 	 18.000000 	 9.702231
0	30615	1 	 LowerBoundDemand 	 None 	 12.000000 	 6.594470
0	30700	2 	 LowerBound 	 None 	 20.000000 	 10.226404
0	30700	2 	 LowerBoundDemand 	 None 	 16.000000 	 8.395216
0	30710	2 	 LowerBound 	 None 	 20.000000 	 8.435424
0	30710	2 	 LowerBoundDemand 	 None 	 16.000000 	 6.946111
0	30720	2 	 LowerBound 	 None 	 17.000000 	 8.759453
0	30720	2 	 LowerBoundDemand 	 None 	 14.000000 	 7.220290
0	30406	1 	 LowerBound 	 None 	 9.000000 	 3.111746
0	30406	1 	 LowerBoundDemand 	 None 	 7.000000 	 2.321457
0	30416	1 	 LowerBound 	 None 	 10.000000 	 2.942466
0	30416	1 	 LowerBoundDemand 	 None 	 7.000000 	 2.262697
0	30511	2 	 LowerBound 	 None 	 7.000000 	 2.484339
0	30511	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.103965
0	30501	2 	 LowerBound 	 None 	 7.000000 	 2.670874
0	30501	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.248878
0	30521	2 	 LowerBound 	 None 	 7.000000 	 2.793167
0	30521	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.342462
0	30606	1 	 LowerBound 	 None 	 19.000000 	 10.127735
0	30606	1 	 LowerBoundDemand 	 None 	 13.000000 	 6.921192
0	30616	1 	 LowerBound 	 None 	 21.000000 	 11.096358
0	30616	1 	 LowerBoundDemand 	 None 	 13.000000 	 7.471899
0	30701	2 	 LowerBound 	 None 	 14.000000 	 8.987903
0	30701	2 	 LowerBoundDemand 	 None 	 12.000000 	 7.408604
0	30711	2 	 LowerBound 	 None 	 16.000000 	 7.494757
0	30711	2 	 LowerBoundDemand 	 None 	 13.000000 	 6.166719
0	30721	2 	 LowerBound 	 None 	 18.000000 	 9.132573
0	30721	2 	 LowerBoundDemand 	 None 	 15.000000 	 7.511939
0	30407	1 	 LowerBound 	 None 	 8.000000 	 2.726870
0	30407	1 	 LowerBoundDemand 	 None 	 5.000000 	 2.064424
0	30417	1 	 LowerBound 	 None 	 7.000000 	 2.792738
0	30417	1 	 LowerBoundDemand 	 None 	 5.000000 	 2.088797
0	30512	2 	 LowerBound 	 None 	 8.000000 	 2.871564
0	30512	2 	 LowerBoundDemand 	 None 	 7.000000 	 2.418520
0	30502	2 	 LowerBound 	 None 	 8.000000 	 2.908507
0	30502	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.447823
0	30522	2 	 LowerBound 	 None 	 8.000000 	 2.514330
0	30522	2 	 LowerBoundDemand 	 None 	 7.000000 	 2.117208
0	30607	1 	 LowerBound 	 None 	 16.000000 	 8.965429
0	30607	1 	 LowerBoundDemand 	 None 	 11.000000 	 5.847929
0	30617	1 	 LowerBound 	 None 	 19.000000 	 9.950307
0	30617	1 	 LowerBoundDemand 	 None 	 13.000000 	 6.574710
0	30702	2 	 LowerBound 	 None 	 18.000000 	 10.027975
0	30702	2 	 LowerBoundDemand 	 None 	 15.000000 	 8.217795
0	30712	2 	 LowerBound 	 None 	 17.000000 	 8.758997
0	30712	2 	 LowerBoundDemand 	 None 	 14.000000 	 7.214625
0	30722	2 	 LowerBound 	 None 	 19.000000 	 10.295514
0	30722	2 	 LowerBoundDemand 	 None 	 15.000000 	 8.455404
0	30408	1 	 LowerBound 	 None 	 7.000000 	 2.403918
0	30408	1 	 LowerBoundDemand 	 None 	 5.000000 	 1.811913
0	30418	1 	 LowerBound 	 None 	 9.000000 	 2.921618
0	30418	1 	 LowerBoundDemand 	 None 	 6.000000 	 2.153257
0	30513	2 	 LowerBound 	 None 	 7.000000 	 2.754163
0	30513	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.314558
0	30503	2 	 LowerBound 	 None 	 7.000000 	 2.707175
0	30503	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.299458
0	30523	2 	 LowerBound 	 None 	 7.000000 	 2.846443
0	30523	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.378068
0	30608	1 	 LowerBound 	 None 	 20.000000 	 8.814898
0	30608	1 	 LowerBoundDemand 	 None 	 13.000000 	 5.865747
0	30618	1 	 LowerBound 	 None 	 27.000000 	 12.546712
0	30618	1 	 LowerBoundDemand 	 None 	 19.000000 	 8.612444
0	30703	2 	 LowerBound 	 None 	 16.000000 	 7.132211
0	30703	2 	 LowerBoundDemand 	 None 	 13.000000 	 5.863517
0	30713	2 	 LowerBound 	 None 	 20.000000 	 10.014598
0	30713	2 	 LowerBoundDemand 	 None 	 17.000000 	 8.228767
0	30723	2 	 LowerBound 	 None 	 17.000000 	 8.795483
0	30723	2 	 LowerBoundDemand 	 None 	 14.000000 	 7.211596
0	30409	1 	 LowerBound 	 None 	 7.000000 	 2.776105
0	30409	1 	 LowerBoundDemand 	 None 	 5.000000 	 2.079239
0	30419	1 	 LowerBound 	 None 	 7.000000 	 2.788428
0	30419	1 	 LowerBoundDemand 	 None 	 5.000000 	 2.096451
0	30514	2 	 LowerBound 	 None 	 7.000000 	 2.731482
0	30514	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.293634
0	30504	2 	 LowerBound 	 None 	 8.000000 	 2.901205
0	30504	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.461795
0	30524	2 	 LowerBound 	 None 	 8.000000 	 3.057852
0	30524	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.566928
