Placement Controller,Reallocation Controller,Initial Placement,Times,Workload data,Schedule,Release,Experiment start time,Experiment stop time,Status,MEAN server count,50 quantile server count,90 quantile server count,MIN server count,MAX server count,MEAN server CPU utilization,50 quantile server CPU utilization,MEAN server MEM utilization,SUCCESSFUL operations count,FAILED operations count,MEAN operations response time,50 quantile operations response time (sampled),90 quantile operations response time (sampled),50 quantile operation response time (AVG over all targets),90 quantile operation response time (AVG over all targets),MAX operations response time,operations per second,requests per second,operations response time threshold violations,live migrations count,Server CPU > 90% measurements count,Server activations count,Server deactivations count,Total seen operations count
WorstFitDemand,None,Round,MKII,MKII,20001,MKIICOOP ,12/11/2013 16:27:00,12/12/2013 4:45:00,ok,3.454927082,4,4,1,5,30.32963029,28.9,36.02732602,2880451,334,610.2322918,1044,1094,575.1547217,877.6149559,15393,4.863655679,37.50455109,5178.5,0,1,7,7,2880785
WorstFitDemand,None,Round,MKII,MKII,20002,MKIICOOP ,12/13/2013 10:29:00,12/14/2013 4:45:00,ok,3.224048729,3,4,1,6,40.61656298,42.7,39.15710155,3047497,395,655.5773017,1046,1135,585.5733752,798.2798106,23306,4.61825048,35.63058981,11801.5,0,1,6,6,3047892
WorstFitDemand,None,Round,MKII,MKII,20003,MKIICOOP ,12/16/2013 12:58:00,12/17/2013 0:50:00,ok,2.863128382,3,3,1,4,27.98982426,27.7,39.94851808,1940272,220,594.2410854,1043,1087,564.1396576,949.7690653,37869,3.406076442,26.29972826,4999.5,0,1,4,4,1940492
WorstFitDemand,None,Round,MKII,MKII,20100,MKIICOOP ,12/17/2013 11:04:00,12/17/2013 23:00:00,ok,3.341790241,3,5,1,5,29.04383478,27.4,37.00299916,2505518,168,628.2618151,1044,1093,567.8221096,725.2346787,7818,3.1035916,23.96710932,5014.5,0,1,6,6,2505686
WorstFitDemand,None,Round,MKII,MKII,20101,MKIICOOP ,12/18/2013 9:10:00,12/18/2013 20:50:00,ok,3.678472544,4,5,1,6,22.61934017,16.3,32.64874261,1936879,145,585.7646925,1044,1091,571.8053973,949.6106611,17143,4.251807119,32.80287741,4281.5,0,1,6,6,1937024
WorstFitDemand,None,Round,MKII,MKII,20102,MKIICOOP ,12/18/2013 22:55:00,12/19/2013 11:20:00,ok,3.675197077,4,5,1,5,37.58620491,33.9,34.8013365,4046988,329,647.0034857,1045,1115,582.339586,1003.934221,20834,5.140354591,39.69683005,12705,0,1,7,7,4047317
WorstFitDemand,None,Round,MKII,MKII,20103,MKIICOOP ,12/20/2013 9:38:00,12/20/2013 22:10:00,ok,2.809100953,3,5,1,5,23.90019234,20,34.84458309,1651702,109,605.6842703,1044,1097,589.5219072,794.9226112,38443,2.833834837,21.85782447,8347.5,0,1,5,5,1651811
WorstFitDemand,None,Round,MKII,MKII,20200,MKIICOOP ,12/21/2013 13:39:00,12/21/2013 23:45:00,ok,2.305439049,2,4,1,4,33.1039013,32,41.97310114,1587181,172,654.9208534,1045,1117,571.0778734,895.6799082,36888,3.48614318,26.98913995,8732.5,0,1,6,6,1587353
WorstFitDemand,None,Round,MKII,MKII,20201,MKIICOOP ,12/22/2013 15:15:00,12/23/2013 3:00:00,ok,3.176852802,3,5,1,5,25.66978166,20.5,30.13823436,2075889,162,708.4833473,1045,1136,602.5587605,1671.08226,39588,4.182297049,32.2582142,16225,0,1,6,6,2076051
WorstFitDemand,None,Round,MKII,MKII,20202,MKIICOOP ,12/23/2013 15:11:00,12/24/2013 2:15:00,ok,3.309669392,3,5,1,5,30.22569894,25,34.95506492,2434220,314,603.8026428,1044,1109,572.5030612,842.0230019,9367,4.635180937,35.73745112,6777.5,0,1,7,7,2434534
WorstFitDemand,None,Round,MKII,MKII,20203,MKIICOOP ,12/26/2013 16:25:00,12/27/2013 4:15:00,ok,3.094035668,4,4,1,5,22.73218343,16.8,31.97816575,1630209,80,574.0449081,1045,1106,578.8649612,990.5128006,28121,2.778168134,21.56466066,8762.5,0,1,5,5,1630289
WorstFitDemand,None,Round,MKII,MKII,20300,MKIICOOP ,12/28/2013 1:25:00,12/28/2013 14:00:00,ok,3.145229236,3,5,1,5,27.97837784,25.4,36.38542558,2128895,176201,601.5919513,1044,1121,567.9408677,1081.988165,57680,3.145556817,25.16109512,10415,0,1,7,7,2305096
WorstFitDemand,None,Round,MKII,MKII,20301,MKIICOOP ,12/28/2013 16:01:00,12/29/2013 4:15:00,ok,3.203047341,3,5,1,5,28.55481069,27.4,36.41806405,2293496,128,644.7845921,1044,1094,561.1776515,655.8122762,9975,3.487967855,26.90931891,6638,0,1,6,6,2293624
WorstFitDemand,None,Round,MKII,MKII,20302,MKIICOOP ,12/29/2013 13:47:00,12/30/2013 2:00:00,ok,3.288495494,3,5,1,5,30.91545575,23.2,38.69917636,2714779,52209,633.799798,1046,1138,590.5271142,1099.538102,16294,5.3013556,40.85286475,10988,0,1,5,5,2766988
WorstFitDemand,None,Round,MKII,MKII,20303,MKIICOOP ,12/30/2013 2:46:00,12/30/2013 14:45:00,ok,3.516119646,4,5,1,5,24.65312394,16.7,30.98780006,2166307,201,699.1285402,1046,1120,630.4728026,1342.915115,41225,4.704692222,36.12387653,12828.5,0,1,5,5,2166508
,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,
WorstFit,KMControl,Round,MKII,MKII,20000,MKIICOOP ,1/31/2014 9:00:00,1/31/2014 20:00:00,ok,3.528549274,4,5,1,6,31.44465443,28.7,33.41258588,2428313,1382,648.1211704,1045,1115,589.8168627,673.7881248,39583,4.221391269,32.5959777,5399.5,22,1,12,12,2429695
WorstFit,KMControl,Round,MKII,MKII,20001,MKIICOOP ,1/31/2014 23:25:00,2/1/2014 11:35:00,ok,3.768301263,4,5,1,6,31.26876017,29.5,34.29039566,2869854,1241,666.6437674,1045,1093,630.6260592,1029.165643,40145,4.795995041,36.89247537,8829.5,22,1,12,12,2871095
WorstFit,KMControl,Round,MKII,MKII,20002,MKIICOOP ,2/1/2014 11:48:00,2/1/2014 22:00:00,ok,3.952013225,4,6,1,6,36.30517347,34.5,31.54998526,3051794,349,648.4605148,1045,1112,574.3305592,705.8799288,34220,4.644144271,35.84555794,11534,16,1,11,11,3052143
WorstFit,KMControl,Round,MKII,MKII,20003,MKIICOOP ,2/1/2014 13:15:00,2/2/2014 1:00:00,ok,3.546731975,4,5,1,6,27.14854849,26.9,32.84589452,1938286,2445,581.7919706,1045,1089,569.1571294,707.2901108,35461,3.411763498,26.36577091,3856.5,19,1,15,15,1940731
WorstFit,KMControl,Round,MKII,MKII,20100,MKIICOOP ,2/3/2014 9:15:00,2/3/2014 21:15:00,ok,3.835780324,4,5,1,6,27.87961341,28.7,31.44268617,2501383,3155,637.0888335,1044,1088,572.2971166,732.961113,33621,3.101526247,23.86335961,6279,21,1,14,14,2504538
WorstFit,KMControl,Round,MKII,MKII,20101,MKIICOOP ,2/3/2014 21:15:00,2/4/2014 9:00:00,ok,3.202738097,4,5,1,6,28.54702482,28.5,36.15056789,1927921,2424,619.6815298,1045,1097,570.4075114,956.604862,39987,4.249849501,32.90013819,7243,20,1,13,13,1930345
WorstFit,KMControl,Round,MKII,MKII,20102,MKIICOOP ,2/4/2014 9:30:00,2/4/2014 22:00:00,ok,4.409122801,5,6,1,6,35.45313772,34.8,29.49733059,4043803,2391,661.5885858,1045,1107,575.6397683,718.5720647,32471,5.138569412,39.6019363,11435,16,1,11,11,4046194
WorstFit,KMControl,Round,MKII,MKII,20103,MKIICOOP ,2/5/2014 14:55:00,2/6/2014 3:30:00,ok,2.947954036,3,5,1,6,26.88004991,26.4,33.71037159,1659574,81,544.7341871,1045,1090,575.3290471,708.2898862,33412,2.851223746,21.95837618,3336.5,19,1,14,14,1659655
WorstFit,KMControl,Round,MKII,MKII,20200,MKIICOOP ,2/6/2014 12:00:00,2/6/2014 22:05:00,ok,3.229054526,3,5,1,6,29.09153269,28.5,29.65528571,1590123,1086,662.7233311,1046,1105,576.6584924,765.9275714,35138,3.528729152,27.25535303,5899,17,1,16,16,1591209
WorstFit,KMControl,Round,MKII,MKII,20201,MKIICOOP ,2/6/2014 23:00:00,2/7/2014 10:50:00,ok,3.207435233,3,5,1,6,30.42819903,30.3,28.78218548,2092178,2106,611.1630545,1046,1104,576.5946999,791.3624631,38062,4.203984368,32.44518536,6513,20,1,14,14,2094284
